x,y,u1,u2,p
0.0125,0.8875,6.94347e-05,0.117289,-1.43126
0.0125,0.9,-0.000120297,0.124093,-1.49211
0.0125,0.9125,-0.0444606,0.177504,-1.77436
0.0125,0.925,-0.0433818,0.165551,-2.86359
0.0125,0.9375,-0.0423031,0.153598,-3.95282
0.0125,0.95,-0.0412243,0.141646,-5.04205
0.0125,0.9625,-0.00901281,0.115987,-4.92497
0.0125,0.975,0.0773248,0.0773248,-6.19191
0.0125,0.9875,0.413662,0.0386624,-7.45885
0.0125,1,1,-1.49103e-31,-8.72579
0.025,0,2.56851e-35,1.14271e-33,-0.0350501
0.025,0.0125,7.11921e-05,-5.96548e-05,-0.0345239
0.025,0.025,6.39449e-05,-6.32744e-05,-0.0339976
0.025,0.0375,1.89442e-05,-4.14449e-05,-0.0334797
0.025,0.05,-2.60565e-05,-1.96154e-05,-0.0329617
0.025,0.0625,-8.71531e-05,1.59314e-05,-0.0316632
0.025,0.075,-0.000153152,0.000159697,-0.0303646
0.025,0.0875,-0.000223126,0.000395517,-0.028353
0.025,0.1,-0.0002931,0.000631337,-0.0263414
0.025,0.1125,-0.000364495,0.000934604,-0.0249912
0.025,0.125,-0.000427765,0.00134334,-0.0236411
0.025,0.1375,-0.000489955,0.00182891,-0.0214255
0.025,0.15,-0.000552145,0.00231448,-0.01921
0.025,0.1625,-0.000615923,0.00286681,-0.0182199
0.025,0.175,-0.00067317,0.00351904,-0.0172297
0.025,0.1875,-0.0007298,0.0042363,-0.0154188
0.025,0.2,-0.00078643,0.00495357,-0.0136079
0.025,0.2125,-0.000843855,0.00573066,-0.0133073
0.025,0.225,-0.000898114,0.00660393,-0.0130066
0.025,0.2375,-0.000952334,0.00753768,-0.0119122
0.025,0.25,-0.00100655,0.00847143,-0.0108178
0.025,0.2625,-0.00106143,0.00946121,-0.0114701
0.025,0.275,-0.00111626,0.010548,-0.0121225
0.025,0.2875,-0.00117174,0.0116959,-0.0119747
0.025,0.3,-0.00122722,0.0128438,-0.0118268
0.025,0.3125,-0.00128349,0.0140478,-0.0136908
0.025,0.325,-0.00134203,0.0153537,-0.0155548
0.025,0.3375,-0.00140182,0.0167259,-0.0165769
0.025,0.35,-0.00146161,0.0180981,-0.0175989
0.025,0.3625,-0.00152257,0.01953,-0.0209751
0.025,0.375,-0.00158738,0.0210723,-0.0243513
0.025,0.3875,-0.00165405,0.0226894,-0.0268129
0.025,0.4,-0.00172071,0.0243065,-0.0292746
0.025,0.4125,-0.00178919,0.0259901,-0.0345434
0.025,0.425,-0.00186268,0.0277954,-0.0398122
0.025,0.4375,-0.00193873,0.0296874,-0.044067
0.025,0.45,-0.00201478,0.0315794,-0.0483217
0.025,0.4625,-0.00209361,0.0335478,-0.0559875
0.025,0.475,-0.00217865,0.0356518,-0.0636533
0.025,0.4875,-0.00226727,0.037859,-0.0701765
0.025,0.5,-0.00235589,0.0400661,-0.0766998
0.025,0.5125,-0.00244891,0.0423634,-0.0874513
0.025,0.525,-0.00254996,0.0448134,-0.0982029
0.025,0.5375,-0.0026561,0.0473899,-0.107651
0.025,0.55,-0.00276225,0.0499664,-0.117099
0.025,0.5625,-0.0028747,0.0526521,-0.131915
0.025,0.575,-0.00299846,0.0555127,-0.146732
0.025,0.5875,-0.00313027,0.0585365,-0.160008
0.025,0.6,-0.00326209,0.0615604,-0.173284
0.025,0.6125,-0.00340596,0.0647243,-0.193649
0.025,0.625,-0.00356629,0.06809,-0.214015
0.025,0.6375,-0.00374245,0.0716758,-0.232504
0.025,0.65,-0.00391861,0.0752617,-0.250994
0.025,0.6625,-0.00412471,0.0790466,-0.279117
0.025,0.675,-0.00435704,0.0830766,-0.307241
0.025,0.6875,-0.00460315,0.0874242,-0.333358
0.025,0.7,-0.00484925,0.0917718,-0.359475
0.025,0.7125,-0.00509063,0.0963718,-0.399639
0.025,0.725,-0.00536551,0.101261,-0.439802
0.025,0.7375,-0.0057178,0.106752,-0.475512
0.025,0.75,-0.00607009,0.112242,-0.511221
0.025,0.7625,-0.00673274,0.118358,-0.571607
0.025,0.775,-0.00736981,0.124587,-0.631993
0.025,0.7875,-0.00817948,0.131408,-0.691525
0.025,0.8,-0.00898914,0.13823,-0.751057
0.025,0.8125,-0.010236,0.146221,-0.836729
0.025,0.825,-0.0113942,0.154876,-0.922401
0.025,0.8375,-0.0117231,0.165382,-1.02233
0.025,0.85,-0.0120521,0.175887,-1.12225
0.025,0.8625,-0.00975855,0.185433,-1.31576
0.025,0.875,-0.00529063,0.191834,-1.50927
0.025,0.8875,-0.0056701,0.205441,-1.57013
0.025,0.9,-0.00604956,0.219049,-1.63098
0.025,0.9125,-0.0360609,0.256824,-1.91323
