x,y,u1,u2,p
0.01,0.33,-0.00020883,0.00599934,-0.0140997
0.01,0.34,-0.000228534,0.00641118,-0.0148802
0.01,0.35,-0.000248238,0.00682301,-0.0156607
0.01,0.36,-0.000209207,0.00730408,-0.018274
0.01,0.37,-0.000231808,0.00779766,-0.0201171
0.01,0.38,-0.00025441,0.00829124,-0.0219602
0.01,0.39,-0.000277011,0.00878482,-0.0238034
0.01,0.4,-0.000299612,0.0092784,-0.0256465
0.01,0.41,-0.000255718,0.00986401,-0.0297192
0.01,0.42,-0.000281943,0.0104516,-0.0329184
0.01,0.43,-0.000308167,0.0110391,-0.0361176
0.01,0.44,-0.000334392,0.0116267,-0.0393168
0.01,0.45,-0.000360617,0.0122143,-0.042516
0.01,0.46,-0.000311341,0.0129256,-0.0484671
0.01,0.47,-0.000342061,0.0136222,-0.0534229
0.01,0.48,-0.000372781,0.0143188,-0.0583787
0.01,0.49,-0.000403501,0.0150155,-0.0633346
0.01,0.5,-0.000434221,0.0157121,-0.0682904
0.01,0.51,-0.000378981,0.0165776,-0.0766925
0.01,0.52,-0.000415565,0.017402,-0.0839586
0.01,0.53,-0.000452149,0.0182265,-0.0912247
0.01,0.54,-0.000488733,0.019051,-0.0984908
0.01,0.55,-0.000525316,0.0198755,-0.105757
0.01,0.56,-0.000461813,0.0209335,-0.11742
0.01,0.57,-0.000506586,0.0219114,-0.127754
0.01,0.58,-0.000551358,0.0228893,-0.138088
0.01,0.59,-0.00059613,0.0238672,-0.148422
0.01,0.6,-0.000640903,0.0248452,-0.158757
0.01,0.61,-0.000567546,0.0261569,-0.174894
0.01,0.62,-0.000626155,0.0273243,-0.189443
0.01,0.63,-0.000684764,0.0284917,-0.203993
0.01,0.64,-0.000743373,0.0296591,-0.218543
0.01,0.65,-0.000801982,0.0308265,-0.233093
0.01,0.66,-0.000729471,0.0324993,-0.255497
0.01,0.67,-0.000809766,0.0339181,-0.276231
0.01,0.68,-0.000890061,0.035337,-0.296965
0.01,0.69,-0.000970355,0.0367559,-0.317699
0.01,0.7,-0.00105065,0.0381747,-0.338432
0.01,0.71,-0.000889265,0.0403336,-0.370548
0.01,0.72,-0.00100253,0.0421228,-0.399067
0.01,0.73,-0.00111579,0.0439119,-0.427586
0.01,0.74,-0.00122905,0.0457011,-0.456106
0.01,0.75,-0.00134232,0.0474903,-0.484625
0.01,0.76,-0.0014472,0.0508665,-0.533005
0.01,0.77,-0.00170558,0.0530816,-0.58071
0.01,0.78,-0.00196396,0.0552966,-0.628416
0.01,0.79,-0.00222233,0.0575116,-0.676121
0.01,0.8,-0.00248071,0.0597267,-0.723826
0.01,0.81,-0.00315945,0.0648637,-0.792511
0.01,0.82,-0.00326266,0.0682528,-0.872653
0.01,0.83,-0.00336587,0.0716419,-0.952794
0.01,0.84,-0.00346907,0.075031,-1.03294
0.01,0.85,-0.00357228,0.0784201,-1.11308
0.01,0.86,0.000834674,0.0840914,-1.26807
0.01,0.87,0.000716366,0.0884634,-1.31704
0.01,0.88,0.000598057,0.0928354,-1.366
0.01,0.89,0.000479748,0.0972074,-1.41496
0.01,0.9,0.00036144,0.101579,-1.46392
0.01,0.91,-0.0384529,0.148233,-1.68989
0.01,0.92,-0.0377595,0.140588,-2.56154
0.01,0.93,-0.0370662,0.132944,-3.43319
0.01,0.94,-0.0363728,0.125299,-4.30484
0.01,0.95,-0.0356795,0.117654,-5.17649
0.01,0.96,-0.0210187,0.0989813,-5.08287
0.01,0.97,-0.00576401,0.074236,-6.09647
0.01,0.98,0.169491,0.0494907,-7.11006
0.01,0.99,0.504745,0.0247453,-8.12366
0.01,1,1,-1.43905e-31,-9.13726
0.02,0,3.52903e-20,-3.04789e-20,-0.0356972
0.02,0.01,5.91536e-05,-5.35159e-05,-0.0353083
0.02,0.02,7.38663e-05,-7.35046e-05,-0.0349195
0.02,0.03,4.70594e-05,-5.80868e-05,-0.034537
0.02,0.04,2.02525e-05,-4.26691e-05,-0.0341546
0.02,0.05,-6.55444e-06,-2.72513e-05,-0.0337721
0.02,0.06,-2.71009e-05,-3.40956e-05,-0.0328523
0.02,0.07,-4.99875e-05,2.14986e-05,-0.0319325
0.02,0.08,-9.01834e-05,0.000161012,-0.0304973
0.02,0.09,-0.000130379,0.000300526,-0.0290622
0.02,0.1,-0.000170575,0.000440039,-0.027627
0.02,0.11,-0.000196503,0.000601225,-0.0266934
0.02,0.12,-0.000218069,0.00082319,-0.0257597
0.02,0.13,-0.000253819,0.00110615,-0.0242032
0.02,0.14,-0.000289568,0.0013891,-0.0226467
0.02,0.15,-0.000325318,0.00167206,-0.0210902
0.02,0.16,-0.000347162,0.00198552,-0.0204337
0.02,0.17,-0.000366131,0.00235756,-0.0197772
0.02,0.18,-0.000399371,0.00277484,-0.0185211
0.02,0.19,-0.000432611,0.00319212,-0.017265
0.02,0.2,-0.000465851,0.00360939,-0.0160089
0.02,0.21,-0.00048438,0.00405946,-0.0158647
0.02,0.22,-0.000502375,0.00456776,-0.0157204
0.02,0.23,-0.00053537,0.00511403,-0.0149782
0.02,0.24,-0.000568365,0.0056603,-0.0142359
0.02,0.25,-0.00060136,0.00620658,-0.0134936
0.02,0.26,-0.00061847,0.00678854,-0.0140552
0.02,0.27,-0.000637113,0.00743158,-0.0146168
0.02,0.28,-0.000672319,0.00811055,-0.0145513
0.02,0.29,-0.000707524,0.00878952,-0.0144857
0.02,0.3,-0.000742729,0.00946848,-0.0144202
0.02,0.31,-0.000760419,0.0101882,-0.0158871
0.02,0.32,-0.000781094,0.0109747,-0.017354
0.02,0.33,-0.000820502,0.0117984,-0.0181344
0.02,0.34,-0.000859911,0.012622,-0.0189149
0.02,0.35,-0.000899319,0.0134457,-0.0196954
0.02,0.36,-0.000919241,0.0143182,-0.0223087
0.02,0.37,-0.000943038,0.0152654,-0.024922
0.02,0.38,-0.00098824,0.0162526,-0.0267652
0.02,0.39,-0.00103344,0.0172398,-0.0286083
0.02,0.4,-0.00107865,0.0182269,-0.0304514
0.02,0.41,-0.00110217,0.0192747,-0.0345241
0.02,0.42,-0.00113006,0.0204066,-0.0385967
0.02,0.43,-0.00118251,0.0215817,-0.0417959
0.02,0.44,-0.00123496,0.0227568,-0.0449952
0.02,0.45,-0.00128741,0.0239319,-0.0481944
0.02,0.46,-0.00131578,0.0251838,-0.0541454
0.02,0.47,-0.00134889,0.0265306,-0.0600965
0.02,0.48,-0.00141033,0.0279238,-0.0650524
0.02,0.49,-0.00147177,0.029317,-0.0700082
0.02,0.5,-0.00153321,0.0307102,-0.074964
0.02,0.51,-0.00156803,0.0322026,-0.0833662
0.02,0.52,-0.00160823,0.0338019,-0.0917683
0.02,0.53,-0.00168139,0.0354509,-0.0990344
0.02,0.54,-0.00175456,0.0370999,-0.106301
0.02,0.55,-0.00182773,0.0387488,-0.113567
0.02,0.56,-0.0018706,0.0405284,-0.125229
0.02,0.57,-0.0019203,0.0424291,-0.136892
0.02,0.58,-0.00200985,0.0443849,-0.147226
0.02,0.59,-0.00209939,0.0463408,-0.15756
0.02,0.6,-0.00218894,0.0482966,-0.167895
0.02,0.61,-0.00224514,0.0504319,-0.184032
0.02,0.62,-0.00231078,0.0527045,-0.200169
0.02,0.63,-0.002428,0.0550393,-0.214719
0.02,0.64,-0.00254522,0.0573741,-0.229269
0.02,0.65,-0.00266244,0.0597089,-0.243818
0.02,0.66,-0.00275114,0.0623094,-0.266222
0.02,0.67,-0.00285488,0.0650729,-0.288626
0.02,0.68,-0.00301547,0.0679107,-0.30936
0.02,0.69,-0.00317606,0.0707484,-0.330094
0.02,0.7,-0.00333665,0.0735861,-0.350828
0.02,0.71,-0.00341307,0.0767933,-0.382943
0.02,0.72,-0.00350864,0.0801883,-0.415059
0.02,0.73,-0.00373516,0.0837666,-0.443578
0.02,0.74,-0.00396169,0.087345,-0.472097
0.02,0.75,-0.00418822,0.0909233,-0.500617
0.02,0.76,-0.00457951,0.09536,-0.548997
0.02,0.77,-0.00495183,0.0998687,-0.597377
0.02,0.78,-0.00546859,0.104299,-0.645082
0.02,0.79,-0.00598534,0.108729,-0.692787
0.02,0.8,-0.0065021,0.113159,-0.740493
0.02,0.81,-0.00739732,0.119152,-0.809178
0.02,0.82,-0.00823331,0.125565,-0.877862
0.02,0.83,-0.00843973,0.132343,-0.958004
0.02,0.84,-0.00864614,0.139121,-1.03815
0.02,0.85,-0.00885255,0.1459,-1.11829
0.02,0.86,-0.00627284,0.153093,-1.27328
0.02,0.87,-0.00229998,0.158264,-1.42828
0.02,0.88,-0.0025366,0.167008,-1.47725
0.02,0.89,-0.00277322,0.175752,-1.52621
0.02,0.9,-0.00300984,0.184496,-1.57517
