x,y,u1,u2,p
0.01,0.42,-0.000236503,0.0105769,-0.0370844
0.01,0.43,-0.000284028,0.0111677,-0.040941
0.01,0.44,-0.000331553,0.0117584,-0.0447976
0.01,0.45,-0.000379078,0.0123491,-0.0486542
0.01,0.46,-0.000426603,0.0129398,-0.0525108
0.01,0.47,-0.000474128,0.0135305,-0.0563674
0.01,0.48,-0.000521653,0.0141212,-0.060224
0.01,0.49,-0.000569178,0.014712,-0.0640805
0.01,0.5,-0.000616703,0.0153027,-0.0679371
0.01,0.51,-0.000523904,0.0169496,-0.07825
0.01,0.52,-0.000602826,0.0177153,-0.0878405
0.01,0.53,-0.000681748,0.018481,-0.097431
0.01,0.54,-0.000760671,0.0192467,-0.107021
0.01,0.55,-0.000839593,0.0200125,-0.116612
0.01,0.56,-0.000918516,0.0207782,-0.126202
0.01,0.57,-0.000997438,0.0215439,-0.135793
0.01,0.58,-0.00107636,0.0223096,-0.145383
0.01,0.59,-0.00115528,0.0230754,-0.154974
0.01,0.6,-0.00123421,0.0238411,-0.164564
0.01,0.61,-0.00153408,0.0265631,-0.181048
0.01,0.62,-0.00156075,0.0276582,-0.200188
0.01,0.63,-0.00158742,0.0287534,-0.219329
0.01,0.64,-0.00161409,0.0298485,-0.23847
0.01,0.65,-0.00164075,0.0309437,-0.25761
0.01,0.66,-0.00166742,0.0320389,-0.276751
0.01,0.67,-0.00169409,0.033134,-0.295891
0.01,0.68,-0.00172076,0.0342292,-0.315032
0.01,0.69,-0.00174743,0.0353244,-0.334172
0.01,0.7,-0.0017741,0.0364195,-0.353313
0.01,0.71,0.000588752,0.039684,-0.392523
0.01,0.72,0.000578116,0.0409955,-0.40561
0.01,0.73,0.000567481,0.042307,-0.418696
0.01,0.74,0.000556846,0.0436185,-0.431782
0.01,0.75,0.000546211,0.04493,-0.444869
0.01,0.76,0.000535576,0.0462415,-0.457955
0.01,0.77,0.000524941,0.047553,-0.471042
0.01,0.78,0.000514306,0.0488645,-0.484128
0.01,0.79,0.00050367,0.050176,-0.497215
0.01,0.8,0.000493035,0.0514875,-0.510301
0.01,0.81,-0.0224596,0.079215,-0.567899
0.01,0.82,-0.0222508,0.0774202,-0.78789
0.01,0.83,-0.022042,0.0756255,-1.00788
0.01,0.84,-0.0218331,0.0738307,-1.22787
0.01,0.85,-0.0216243,0.072036,-1.44787
0.01,0.86,-0.0214154,0.0702412,-1.66786
0.01,0.87,-0.0212066,0.0684465,-1.88785
0.01,0.88,-0.0209977,0.0666518,-2.10784
0.01,0.89,-0.0207889,0.064857,-2.32783
0.01,0.9,-0.02058,0.0630623,-2.54783
0.01,0.91,-0.0243378,0.055662,-2.52527
0.01,0.92,-0.0705225,0.0494774,-2.7795
0.01,0.93,-0.0767072,0.0432927,-3.03372
0.01,0.94,-0.0428919,0.037108,-3.28794
0.01,0.95,0.0309234,0.0309233,-3.54217
0.01,0.96,0.144739,0.0247387,-3.79639
0.01,0.97,0.298554,0.018554,-4.05061
0.01,0.98,0.492369,0.0123693,-4.30484
0.01,0.99,0.726185,0.00618467,-4.55906
0.01,1,1,-1.1524e-31,-4.81328
0.02,0,4.21827e-19,-5.1888e-19,-0.0373136
0.02,0.01,0.000227167,-0.000252961,-0.0364443
0.02,0.02,0.000422336,-0.000413615,-0.035575
0.02,0.03,0.000349312,-0.000278384,-0.0346853
0.02,0.04,0.000276288,-0.000143152,-0.0337955
0.02,0.05,0.000203264,-7.92009e-06,-0.0329058
0.02,0.06,0.00013024,0.000127312,-0.0320161
0.02,0.07,5.72154e-05,0.000262543,-0.0311264
0.02,0.08,-1.58087e-05,0.000397775,-0.0302366
0.02,0.09,-8.88327e-05,0.000533007,-0.0293469
0.02,0.1,-0.000161857,0.000668239,-0.0284572
0.02,0.11,-0.000108864,0.000700487,-0.0279759
0.02,0.12,-4.62607e-05,0.000825424,-0.0274945
0.02,0.13,-0.000107416,0.00118346,-0.0261029
0.02,0.14,-0.000168572,0.00154151,-0.0247112
0.02,0.15,-0.000229727,0.00189955,-0.0233196
0.02,0.16,-0.000290883,0.00225759,-0.0219279
0.02,0.17,-0.000352038,0.00261563,-0.0205363
0.02,0.18,-0.000413194,0.00297367,-0.0191446
0.02,0.19,-0.000474349,0.00333171,-0.0177529
0.02,0.2,-0.000535505,0.00368975,-0.0163613
